S/N,Badge ID URL,Badge ID,
"1","https://www.badgeid.petwidget.com/37wlEB","37wlEB",
"2","https://www.badgeid.petwidget.com/37bH3D","37bH3D",
"3","https://www.badgeid.petwidget.com/37oh4i","37oh4i",
"4","https://www.badgeid.petwidget.com/37oPwk","37oPwk",
"5","https://www.badgeid.petwidget.com/37L1BT","37L1BT",
"6","https://www.badgeid.petwidget.com/37hrwk","37hrwk",
"7","https://www.badgeid.petwidget.com/379U14","379U14",
"8","https://www.badgeid.petwidget.com/37h1JN","37h1JN",
"9","https://www.badgeid.petwidget.com/37nopy","37nopy",
"10","https://www.badgeid.petwidget.com/376scv","376scv",
